,job_title,job_location,advertiser,posted_date,salary,type_of_work,job_category,job_subcategory,job_description,job_searched,url,new_job_category,new_job_title,final_salary,experience_level
179,"Data Analyst - SQL, Oracle, Tableau , Power BI ",All-Sydney-NSW,Modis,17 Apr 2019,na,Contract/Temp,Information & Communication Technology,Database Development & Administration,"Data Analyst - SQL , Oracle, Power BI, Tableau 6 months  Sydney West  Accountabilities Data validation, quality control processes and data analysis processes and methodologies; Development in SQL, Python, R and VBA are preferred capabilities; Data reporting and preparation of publication documentation; Analysis of economic, social and environmental performance and compliance indicators in the water utilities sector;  Competencies Mandatory   High level of skills in Oracle, MS Access, MySQL and MS Excel applications High level of skills in Power BI/Tableau High level of skills in Python Experience/high level of skills in data validation, quality control processes and data analysis processes and methodologies  PreferredExperience/skills in SQL Experience/skills in data reporting and preparation of publication documentation Experience/skills in analysing economic, social and environmental performance and compliance indicators in the water utilities sector Knowledge of water supply and sewerage service provision is a preferred capability Knowledge of the policy analysis, development and evaluation process is a preferred capability Ability to work as part of small team Knowledge of water supply and sewerage service provision is a preferred capability;  Knowledge of the policy analysis, development and evaluation process is a preferred capability;   Interested?  Hit “APPLY” to send your CV through. Alternatively, send your CV to Ellenor.terrado@modis.com Due to new privacy laws regarding the collection and handling of personal information, all applications must be submitted online. Once you click on the ""apply for this job"" button below you will be directed to our Online Centre where you will have the opportunity to read and agree to our Privacy and Consent statements and it will allow your details to be formally lodged and processed correctly. Modis is a national professional services company with global capability. Our committed and talented professionals have delivered world class IT and business consulting services across a wide range of industries. As a member of global professional services group Adecco, we offer world-class employment opportunities. Talented, committed, can-do individuals have always been the cornerstone of this dynamic business. It is expected that the successful candidate will bring energetic dynamics and a strong skill set to this organisation.",data-analyst,https://www.seek.com.au/job/38841764?type=standout&searchrequesttoken=0120d07c-229e-40a6-b5f0-3c7676b2bcfd,Information Technology,data analyst,182000.0,Mid_level
180,Marketing Reporting Analyst,All-Sydney-NSW,The Smith Family,7 May 2019,na,Full Time,Marketing & Communications,Market Research & Analysis," Be part of an organization that makes a difference Bring your Technical Reporting Analyst skills to this newly created role Sydney CBD based The Smith Family is a national, independent children’s charity helping disadvantaged Australians to get the most out of their education, so they can create better futures for themselves.  As we continue to grow, we are now seeking a Reporting Analyst to join our Marketing team. Reporting to our Marketing Analytics Manager and working with a dedicated and clever team, you will be managing the campaign and reporting needs of the Marketing team in order to contribute to The Smith Family vision. Critical to your success will be your advanced Dash boarding and reporting skills using Power BI and an intermediate knowledge of SQL coding. This is a pure reporting role where your analytical skills, ability to blend technical and marketing needs and strong report outcomes will define your success. A day in the life in our Reporting Analyst might look like this, though every day will be different! Your key responsibilities will be to:  Create, modify and maintain various weekly, monthly and quarterly reports and dashboards (using Power BI) Work closely with stakeholders to capture data requirements; translating marketing needs into technical solutions Own and develop strong relationships with marketing and BIS teams Review and improve data and reporting processes Combine multiple data sources in order to provide holistic channel insights Assist in building predictive models, looking at areas such as attribution, churn and propensity to give It takes a special kind of person to be our Marketing Reporting Analyst. Our successful candidate will bring the following:  Tertiary qualification in IT, Computer Science, Marketing or related field Solid demonstrated experience in a Reporting Analyst function Experience with data visualisation tools; preferably Power BI Advanced knowledge of SQL and DAX Prior experience in the NFP space is preferred; but not essential The ideal candidate will be a highly proactive individual with strong problem solving skills, who is able to manage and prioritise multiple concurrent and competing challenges within a dynamic environment. You will be an exceptional communicator, with the ability to build strong working relationships with both internal and external stakeholders. Most of all, you care about helping some of the most disadvantaged in our society. Living up to our employment promise, our team members tell us that working for The Smith Family, they have great job flexibility and the ability to work alongside committed, passionate and professional team members whilst engaging in challenging, fulfilling and diverse work. In turn, our team members believe that they offer commitment to our vision, mission and values and effective collaboration with fellow team members to deliver strong performance outcomes.If you are passionate about what you do, committed to make a difference and this sounds like your next role, we’d love to hear from you.  Please contact us today by sending your resume to careers@thesmithfamily.com.au. You may view the position description at The Smith Family Website.  Closing date:  Wednesday, 22 May 2019 Due to the nature of this role, the successful candidate must be prepared to undertake a National Police Check and a Working with Children’s Check. We are an equal opportunity employer and are committed to principles of cultural diversity. Applications from people of Aboriginal and Torres Strait Islander descent are encouraged.",data-analyst,https://www.seek.com.au/job/38957536?type=standard&searchrequesttoken=0120d07c-229e-40a6-b5f0-3c7676b2bcfd,Sales & Marketing,data analyst,127500.0,Mid_level
182,Business Analysts,All-Sydney-NSW,Divy Associates Pty Ltd,24 Apr 2019,na,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"The Company Divy is part of an Australian group that employs an expansive ultra-talented workforce of technologists.  Since our inception in 2010, Divy has experienced unprecedented growth due to the adoption of our services by many of the country's largest public & private sector organisations. The Role This telco is heavily involved with an MSP and this role will monitor and analyse the performance of Manage Service Provider. It will work closely with the Network Engineering and Operations team to perform data validations, root cause analysis etc for the ongoing performance and maintenance of operations after service activation. This is a 2-month contract with an opportunity to extend. Develop your data analysis skills in a large scale environment. Your Responsibilities   Facilitate meetings and presentations to share the ideas and findings and effectively communicate insights and plans by working closely with management in various Processes.   Planning, operation & stakeholder management to monitor deliverables, ensure timely solution acceptance & adoption Conducting Root Cause Analysis of performance dips or SLA’a not met to achieve improved Customer Experience Contribute to operational governance at by driving and escalating performance, quality and other adhoc performance issues relating to Customer Order management Provide data analysis on order callbacks and fallouts processes to identify performance trends and insights to achieve better service outcomes Focus on the delivery of day to day BAU operations of MSP, driving them to deliver on performance    Your Skills and Experience  5+ years experience in telecommunications Background in Service Activation and operational activities in a telecommunications and/or IT environment  Working knowledge of Tableau, Minitab, Excel, other data analysis and value stream tools. Experience creating detailed reports and giving presentations. Exceptional analytical and conceptual thinking skills.   Strong Problem solving and prioritisation skills Ability to demonstrate initiative and work autonomously Outstanding written and verbal communication skills are essential Experience with Lean Six Sigma Green Belt with 2 years’ experience, multiple projects & certification would be highly advantageous  If this sounds like you, please do not hesitate to send through your application or email your CV directly to rakhee.t@divy.co.",data-analyst,https://www.seek.com.au/job/38872603?type=standout&searchrequesttoken=0120d07c-229e-40a6-b5f0-3c7676b2bcfd,Information Technology,business analyst,195000.0,Mid_level
186,Systems and Reporting Analyst,All-Sydney-NSW,AMP,24 Apr 2019,na,Full Time,Banking & Financial Services,Analysis & Reporting," Working for AMP 
Working for AMP means being part of a company that values diverse thinking, encourages collaboration and promotes innovation.  It’s an environment that offers challenging and exciting work as well as opportunities for professional growth. We’re flexible enough to allow you to make the most of your life, both professionally and personally.
We are looking for those that have the courage and agility to navigate changing and complex environments so that we can deliver the best solutions for our customers. We value people with integrity, an innate willingness to help others and an eagerness to perform to the best of their abilities. 
About the role
The purpose of the role is to provide systems support for existing processes and to develop new reporting functions within the Group Treasury unit to ensure compliance and meet business needs.  The team is currently undertaking a significant project to upgrade existing treasury systems.  This role is required to support business as usual activities as well as being involved with the design of new systems.
Group Treasury activities include front office (dealing), securitisation, middle and back office (settlement and reporting).  Group Treasury is responsible for managing the liquid asset portfolio of AMP Bank, short and long-term wholesale funding including the residential mortgage backed securitisation programme, managing market risk and capital management.
Main focus areas 

Design and implement treasury middle office reports
Maintain reporting databases across Treasury
Monitor system performance and resolve issues
Assist in Treasury systems upgrade project and implementation
Assist in regulatory reporting
Input into Group Treasury policies and procedures
Production of management information and internal reports on a monthly basis or when required.
Assist with regulatory reporting:

Experience required 

Advanced Knoeldge of VBA , SQL and Treasury Systems
Advanced Excel and Access
Understanding of debt capital markets , FX , interest rates and derivatives

 Wellbeing & Benefits 
As a company that values wellbeing, we offer a range of great benefits to support you financially, professionally and personally. These include access to a wide range of flexible working options including retail discounts, onsite wellbeing centre including a gym (Sydney Office), Employee Assistance Program, competitive home loan rates, leading superannuation contribution, discounted financial advice and personal insurance.
Inclusion & Diversity
AMP recognises individual differences and welcomes people from a variety of life and work experiences. The diversity of our people is core to our ability to innovate, grow and to fulfil our collective aspiration of helping people to own their tomorrow. A natural curiosity, a respect for differences and a growth mindset are valued at AMP.",data-analyst,https://www.seek.com.au/job/38872432?type=standout&searchrequesttoken=6d9edd69-1bcd-4921-b277-137d632be31d,Financial Services,data analyst,120000.0,Mid_level
187,Business Analyst - Superannuation,All-Sydney-NSW,Zone IT Solutions,30 Apr 2019,na,Full Time,Information & Communication Technology,Business/Systems Analysts,"We are looking for a number of Business Analysts with Superannuation experience. You will be working with a Global IT leader for a Banking project in Sydney. To be successful for this role, we are looking for:  Strong Business Analysis Skills Strong superannuation domain experience 3+ year experience working as a systems analyst or technical business analyst on complex, multisystem, ICT system builds. Solid working knowledge of SDLC, development processes and agile methodologies Familiar with Australian Superannuation business, registry systems and Super/Investment/Pension products Knowledge of Straight-Thru-Processing and SuperStream project experience SQL skills   About Zone IT Solutions: Zone IT Solutions is an Australia based Recruitment company. We specialize in ERP and larger IT Services. We offer flexible, efficient and collaborative solutions to any organization that requires IT, experts. Our agile, agnostic and flexible solutions will help you source the IT Expertise you need. Our delivery Offices are in Melbourne, Sydney, Singapore, and India. If you are looking for new opportunities your profile at Careers@zoneitsolutions.com or contact us at 0434189909",data-analyst,https://www.seek.com.au/job/38902648?type=standard&searchrequesttoken=6d9edd69-1bcd-4921-b277-137d632be31d,Information Technology,business analyst,120000.0,Mid_level
193,Business Analyst - Port Macquarie ,All-Sydney-NSW,Paxus,6 May 2019,na,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"About the role: A leading utilities company are seeking Business Analyst to review and improve the efficiency and performance of the organisations Asset Management & Engineering System Investment. Reporting into the Program/Project Manager, you will be responsible for gathering evidence, undertaking assessment of procedures, operational processes and data related issues with a purpose to improve quality and integrity. Key skills and experience required: Minimum 3+ years' experience working across similar position within a large organisation. Demonstrated experience in business/process analysis. Good understanding of commercial considerations and risk management principles. Demonstrated experience in development, implementation and monitoring of cost reduction programs, productivity and quality improvement initiatives. Demonstrated experience in the application of project management methodologies and principles.Strong ability to plan, monitor, assess and analyse workplace practices to ensure goals are achieved by specific deadlines. Strong policy and process development skills in order to drive continuous improvement opportunities.Strong skills in computer operations and business systems. To be considered for the role click the 'Apply' button or for more information about this and other opportunities please contact Aaliyah Ismail on 02 9464 5704. Please quote our job reference number: 200187614.",data-analyst,https://www.seek.com.au/job/38950653?type=standout&searchrequesttoken=6d9edd69-1bcd-4921-b277-137d632be31d,Information Technology,business analyst,195000.0,Mid_level
197,Marketing Data Analyst,All-Sydney-NSW,Greenstone Financial Services,10 Apr 2019,na,Full Time,Information & Communication Technology,Business/Systems Analysts,"Greenstone is a leader in the sales and distribution of insurance products under a portfolio of credible owned and white-labelled brands. Brands include Real Insurance, RSPCA Pet Insurance, Guardian, Medibank, Woolworths and Australian Senior Insurance Agency and Choosi. The Opportunity Responsible for ensuring correct and timely implementation of TV and other Above the Line (ATL) advertising buying strategies and initiatives. This includes the creation, management, communication and updating of dashboards. You will also be involved in the reporting and analysis of advertising schedules for the advertising agency and Head of Advertising and Lead Acquisition. Required skills and experience:  Tertiary qualification in a relevant Marketing Analytics discipline Experience (typically 2+ years) in a media or advertising analytics role e.g. advertising agency Strong experience and capability in MS Excel, in particular working with dashboards Strong attention to detail and ability to work in a very fast paced environment Strong communication and stakeholder management with excellent written and verbal communication skills Strong conceptual, problem solving and analytical skills Track record of automating manual processes Some experience in SQL Desirable   Experience with TV media buying with understanding of existing processes and systems Some experience in R Who we are: We are an innovative company with diverse brands and operating divisions, who work together as one team. We strive to be the best provider of direct financial products by placing customers at the heart of everything we do. We care about what we do and making a positive impact on our community. We have an inclusive and diverse culture. We work in a positive and energetic environment, where you can expect to find professional colleagues, driven to achieve results. Our promise to our people: We are passionate about our values, which define how we approach our work. We recognise that you, our colleagues, are the key to our success. That's why you can expect to be rewarded for the hard work you put in through job satisfaction, career development and the fantastic range of benefits we offer. Location: Get away from the hustle and bustle of the city! We are located in Norwest Business Park close to Castle Hill, providing opportunities for greater work life balance. To be eligible you must be a permanent resident with full working rights in Australia.",data-analyst,https://www.seek.com.au/job/38786691?type=standout&searchrequesttoken=62b7a88a-b9fc-4cba-a293-153d90d7fcff,Information Technology,data analyst,150000.0,Mid_level
199,Research Data Manager,All-Sydney-NSW,Black Dog Institute,1 May 2019,na,Full Time,Information & Communication Technology,Database Development & Administration," Become part of a team that is devoted to making the world a mentally healthier place Design, implement and manage systems to enable collection, analysis and reporting of data to determine outcomes for multiple large-scale implementation studies Full-time contract for 2 years About the Institute: The Black Dog Institute is a Medical Research Institute and a global leader in translational mental health research. We harness the latest technology and other tools to quickly turn our world-class research findings into clinical services, education and e-health products that improve the lives of people with mental illness and the wider community.  We pride ourselves on translating our own world leading Workplace Mental Health research into an award-winning culture that encompasses a holistic view of wellbeing. We aim to create a positive, mentally healthy workplace that recognises the importance of meaningful work, balanced lifestyles, psychological well-being and continual learning whilst being guided by our core values - Collaboration, Compassion, Excellence, Innovation and Respect. We offer:   Competitive salaries Salary packaging Commitment to Learning and Development Flexible working hours and work-life balance Generous parental leave policy Pet friendly office Social and team events About the Role: The Research Data Manager will be responsible for creating unified study databases combining data from existing, ongoing data collections managed by internal and external project partners and establishing a reporting platform allowing for routine access by project investigators, and visualisation of research outcomes for a range of audiences. The position works collaboratively with multidisciplinary teams across Discovery, Innovation and Corporate Services. It will require an understanding of the research environment, along with core expertise in data management, including data security, data governance and in the development of data protocols and procedures. Key responsibilities: Develop the data plan for research studies, including recommendations for technologies, formats, operating models and decisioning platforms. Develop protocols, processes and dictionaries to support data management and access across studies, considering data security, data governance and broader research ethics requirements. Manage the collection and integration of data from a range of data providers, including setting up and implementing systems and procedures for quality assurance (quality control, data checking and cleaning large datasets), as well as data extraction for analysis. Manage the study databases to enable researchers to generate insights into study progress and recommendations for improvements to study data collection procedures. Ensure that database development and management will integrate with ongoing data collection processes. Internal and external liaison, consultation and knowledge exchange with stakeholders including data custodians. Provide accurate and timely data to support research reporting as requested and contribute to the dissemination of results. Develop database systems and architecture using specialised fit-for-purpose software such as SAS. Selection Criteria: Essential:  Tertiary qualification in information technology, health information management or a relevant scientific discipline. Demonstrated experience in establishing and managing SQL-Server based database systems for large-scale health projects. Demonstrated experience in SAS or similar software for data management, analysis and reporting. Demonstrated experience in quality control, data checking and cleaning of large-scale datasets, including data manipulation and extraction. Experience in the development of documented data management plans and data governance processes.   Demonstrated ability to manage a variety of internal and external stakeholders, using excellent consultation and negotiation skills to produce positive project outcomes. Demonstrated ability to manage large projects to time and on budget. Proven ability to work flexibly and adapt as necessary to the demands of multiple projects. Excellent interpersonal, oral and written communication skills, with an outstanding level of attention to detail. A knowledge of EEO principles and WH&S responsibilities and commitment to attending relevant WH&S training. Desirable:  Experience in data management for health research. Experience in mental health research highly desirable. Experience of working within a research ethics governance framework. Proven experience with linkage of health service data. Proven experience with visual analytics tools, e.g. SAS. Previous experience working in the not-for-profit sector. To apply: If you’re interested or want to find out more, we’d love to hear from you. Drop us a line at recruitment@blackdog.org.au, using the subject line: Research Data Manager with your CV and cover letter addressing the selection criteria.   Applications close: 15 May 2019 The Black Dog Institute is an EEO Employer. Aboriginal and Torres Strait Islander people are encouraged to apply.  Download the position description: https://www.blackdoginstitute.org.au/docs/default-source/job-position-descriptions/research-data-manager-position-description-final-march-2019.pdf?sfvrsn=0 ",data-analyst,https://www.seek.com.au/job/38920411?type=standard&searchrequesttoken=62b7a88a-b9fc-4cba-a293-153d90d7fcff,Information Technology,data manager,191100.0,Senior_level
200,Data Scientist,All-Sydney-NSW,Foxtel,1 May 2019,na,Full Time,Information & Communication Technology,Other,"At Foxtel, we’re bringing television to Australians like never before. Our mission is to provide Australia’s best value streamed and live sport, movies, drama, news and entertainment experience.
We work as a team, we’re agile and we’re accountable. We put the customer first and we’re passionate about what we do. We have fun and we’re different, better, special.
Our Data & Analytics Department is seeking a Data Scientist to assist with solving FoxCo commercial and customer problems by the application of data science.  
Your purpose

Deliver components of the design, implementation and management of the Data Science capability across FoxCo
Articulate customer and commercial benefit through use of data and analytics capability
Contribute to the development and implementation of the Data Science Roadmap
Identify gaps and innovative solutions, bridging any capability gaps
Provide proactive research into emerging trends, utilising your understanding of market context as well as your own network of advisors
Contribute to the development, management and application of the catalogue of Data Science services
Proactively create new and innovative Data Science requirements
Deliver accurate and practical Data Science solutions, articulating the commercial impact and actionable recommendations
Apply processes and drive continuous improvements

Your capability

Undergraduate degree in Data Science, Computer Science, Engineering, Economics, Statistics,  Mathematics or Actuarial Studies
2+ years’ experience working as a Data Scientist   
Proven track record delivering Data Science solutions
Quality coding skills across at least 2 of either R/Python/SQL, with the ability to demonstrate good coding practices 
Expert in data preparation and manipulation
Working knowledge of many standard and cutting-edge Statistical/Predictive/Machine Learning/Supervised and Unsupervised techniques
Advanced in the application of basic and superior analytics
A strong user of data visualisation techniques to tell the story of data. Tools including (but not limited to) Plotly, ggplot2, matplotlib, MS Excel, MS PowerPoint, Tableau
A creative problem solver with an inquisitive nature  
Ability to communicate well and discuss complex topics with both technical and business audiences

What’s in it for you?We have a benefits program with something for everyone.  But we’re in the entertainment business and we connect Australians to all the stories they love, so what would a Foxtel benefits program be without a free Foxtel subscription and discounted broadband!Above all, we love entertainment and, if you do too, you’ll love working with us.  So if you’re excited about this opportunity, please click ‘Apply now’.
 
 ",data-analyst,https://www.seek.com.au/job/38921156?type=standout&searchrequesttoken=ebcb32d1-7ec6-48f4-af2e-5fc15fa8d7a1,Information Technology,data analyst,150000.0,Mid_level
201,Business Analyst - Business Banking,All-Sydney-NSW,2XM Technology Pty Ltd,8 Apr 2019,na,Full Time,Information & Communication Technology,Business/Systems Analysts,"The Company:They are a leading Saas company specialised within various sides from treasury management, cloud, financial services, and risk analytics. You will join the global team and work on technical strategies, configuring of hardware operating system and applications, technical analysis, and rolling-out a new operating solutions,Experience & Duties: 6+ Years' experience as a senior business analyst Experience in business facing BA roles in financial services ideally in business banking/private banking Strong business acumen, stakeholder management and engagement capabilities Excellent experience using data analysis to drive insights and remediation  Understanding of data and comparatively technical background  Experience with project and change implementation in an agile project environment Flexible, proactive, solution orientated approach  Strong background of business analysis in the financial domain An experienced business analyst is require to drive project and analysis work within the business banking space You will be a key member of a newly created remediation, analysis and insights team Work closely with the businesses and business banking / private banking customers   The Reward: Competitive salary package with career progression into a senior role Based in the heart of the CBD in a new office directly across from transit Globally established and recognised bank/financial institution Work life flexibility, career progression, and recognition Company and team culture events done monthly If you would like to apply for this job please do through the seek portal, alternatively you can send your application direct to me at mike.kairouz@2xmtechnology.com.auIts imperative that all candidates have excellent communication skills and preferably, local experience in a similar position.I welcome all referrals, if you are unavailable and know someone who may be suitable please pass my details on.",data-analyst,https://www.seek.com.au/job/38770364?type=standard&searchrequesttoken=ebcb32d1-7ec6-48f4-af2e-5fc15fa8d7a1,Information Technology,business analyst,120000.0,Mid_level
202,Data Governance/Data Privacy consultant | Contract |,All-Sydney-NSW,Billigence,30 Apr 2019,na,Contract/Temp,Information & Communication Technology,Consultants,"About us      Billigence Pty Ltd is a specialist in the delivery of market-leading Business Intelligence and CRM solutions. Headquartered in Sydney, Australia and with offices in Prague, Frankfurt and Singapore our passion is data and our focus is the delivery of end-to-end solutions via a talented team of skilled professionals.    We are partners with leading edge software platforms including Tableau, Alteryx and Salesforce.  What we are looking for      We are seeking a Data Management Consultant to join our existing team and work closely alongside one of Australia's leading organisations.   This will be an initial 6 month contract with strong potential to extend.  This role is responsible for ensuring a high quality of data management which includes being accountable for:  Data governance Data sharing Data Privacy  Essential skills/ experience required:  Strong understanding of Data Analytics and BI environments Strong commercial experience in a data governance, data sharing, data privacy roles. A flexible mindset and approach to putting the right data in the hands of the right resources according to data management principles Strong communication, negotiation and facilitation skills, with proven ability to influence stakeholders in order to drive strategic business and technology outcomes  If you fit the description and are a passionately driven individual, we would love to meet you.      Please note, only successful candidates will be contacted.   No recruitment agencies please ",data-analyst,https://www.seek.com.au/job/38911276?type=standard&searchrequesttoken=ebcb32d1-7ec6-48f4-af2e-5fc15fa8d7a1,Information Technology,data analyst,182000.0,Mid_level
203,Business Analyst,All-Sydney-NSW,AMCS Group,3 May 2019,na,Full Time,Information & Communication Technology,Business/Systems Analysts,"AMCS Group is a global leader in business operational optimisation software and vehicle technology for the recycling and waste management industry. AMCS’ software is managing over €3bn worth of transactions annually, over 14,000 vehicles and in excess of 3,000 sites. Employing over 500 people, we have operations in Ireland, UK, Denmark, Netherlands, Sweden, US, Australia and New Zealand. To support the continued growth of the business, we currently have a requirement for a Business Analyst within the ANZ/Asia Region. We are actively seeking an experienced Business Analyst who could work collaboratively with ANZ/Global technical delivery teams to successfully deliver projects in Australia and internationally within the region. This role will report into the Head of Services & Delivery ANZ.  Our ideal candidate is a team player who is enthusiastic about delivering complex business solutions, comfortable challenging the status-quo with a constant appetite for new knowledge and skill accumulation. Requirements & Responsibilities: ·      Showcase and foster AMCS core values - Innovation, Dedication and Loyalty. ·      Strong requirements gathering and workshop facilitation skills. ·      Communicate effectively with internal/customer stakeholders across geographies at all levels. ·      Ability to organise and conduct effective meetings internally and customer environments. ·      High energy work ethic with a never say die attitude. ·      Effective written and verbal communication skills, including ability to influence and negotiate. ·      Ability to run product demos to the customer. ·      Comfortable working actively towards achieving personal KPIs based on billability and revenue targets. ·      Prior technical experience as a developer or a DBA would certainly come in handy. ·      Be expected to work with product and industry subject matter experts in order to understand, propose, educate and help implement new business processes. ·      Understand customers' needs, determine solutions to meet those needs, and document these solutions in the form of user stories, use cases and technical specifications that can be implemented by the delivery team. ·      Develop and recommend solutions and strategies, based on the analysis of customer business goals, objectives, and needs. ·      Carryout scope verification and Internal Acceptance Testing (IAT) which includes developing test cases and test strategy documentation.  Good grasp of solutions modelling through UML and a broad toolkit of analysis methods/artefacts. ·      Work closely with the implementation, development, product, DevOps and VTech teams to address questions and provide clarification on requirements during delivery of projects. ·      Prepare detailed Requirement Specification documentation with use cases, presentations, and other documents to explain requirements internally and externally. ·      Ensure all reported data and information are accurate, consistent, relevant and timely. ·      Elicit, evaluate, prioritise, analyse, and document client's business needs and requirements. ·      Excellent analysis and problem-solving skills.  This role would primarily be based in Sydney with occasional work duties from customer offices locally and overseas as the need arises. Occasional Interstate / international travel might be required at a short notice. Qualifications, Experience, Knowledge and Skills: ·           3+ years of experience as a Business Analyst ·           5+ years of experience in the software industry, preferably working for CRM or ERP vendors. ·           Degree in computer science or related field is strongly desired. ·           Industry-recognised qualification such as IIBA-CCBA or CBAP or other equivalent would be beneficial. ·           Experience in MS office and Visio or similar tools. ·           Understanding of IT infrastructure and enterprise solution concepts.",data-analyst,https://www.seek.com.au/job/38933234?type=standout&searchrequesttoken=ebcb32d1-7ec6-48f4-af2e-5fc15fa8d7a1,Information Technology,business analyst,120000.0,Mid_level
204,Data Scientist - Financial Markets ,All-Sydney-NSW,Bluefin Resources Pty Limited,30 Apr 2019,na,Full Time,Banking & Financial Services,Stockbroking & Trading,"Trade behaviour analyticsFinancial markets risk - FX, Interest Rates, Commodities (Options/Futures)Attractive Remuneration Package + Great Bonus PotentialA unique opportunity has transpired for a quantitative analyst or data scientist who is into financial markets risk analytics. This is a unique opportunity, which combines data science, financial markets risk, and compliance. My client is looking to hire an experienced data scientist or quantitative analyst/developer to develop data science tools and provide insights for futures trading strategies.We are keen to speak to candidates who have a demonstrated track record of providing data capabilities as well developing and maintaining quantitative libraries. Experience using machine learning methods would highly advantageous. The key responsibilities includeProvide data driven insights and tools for front office trading behavioural analyticsDevelop, monitor and maintain controls and ensure that financial markets trading is in accordance with global regulatory conditions.Design prototyped trading toolsMining large databases or market and client data to improve profitabilityWe are only seeking candidates with a minimum of 3 years of experience who have worked in data science/machine learning areas which can include robotics, quantitative development, engineering (mechanical, electrical, computer etc). Candidates must come from a financial markets background, either front office, treasury or markets risk. Ideally candidates with haveStrong programming skills in either Python, Maltab or C++. We are open to candidates from any OOP programming background however the role will mainly use Python.Strong financial markets experience from any asset classes but preferably rates, FX, fixed income or commodities (options and futures).Strong data analytics/machine learning experienceKnowledge of SQL is imperative. Understanding or experience in Kdb/Q and NoSQL would be great but not essential.Excellent communication skills. Must be able to work with front office stakeholders.For more information please contact Maria Shevelev at Bluefin Resources on 02 9270 2612IMPORTANT: By submitting your email address and any other personal information when you APPLY to a job, you consent to such information being collected, held, used and disclosed in accordance with our COLLECTIONS NOTICE and PRIVACY POLICY.http://www.bluefinresources.com.au/privacy-policy",data-analyst,https://www.seek.com.au/job/38908453?type=standard&searchrequesttoken=ebcb32d1-7ec6-48f4-af2e-5fc15fa8d7a1,Financial Services,data analyst,120000.0,Mid_level
205,Data Engineer - Financial Crime,All-Sydney-NSW,PwC,11 Apr 2019,na,Full Time,Information & Communication Technology,Business/Systems Analysts,"Line of ServiceAdvisoryIndustry/SectorNot ApplicableSpecialismFraud, Investigations & Regulatory Enforcement (FIRE)Management LevelSenior AssociateJob Description & SummaryWith PwC, you’ll ignite a meaningful career while being supported by a flexible working culture, innovative learning and development opportunities and progressive policies and benefits, such as 18 weeks paid parental leave for mums, dads and foster carers (no minimum service!)What will you create? You’ll help Australian businesses, not-for-profits and governments create value and improve the way they work. From digitising healthcare, to creating smarter cities and igniting our start-up industry, together we build trust in society and solve important problems.Consulting bring this to life by helping clients improve the way they operate, reduce costs, manage risks, leverage talent, or fundamentally change the way they do business. Your work here will help organisations of all shapes and sizes work smarter and grow faster. As a Data Engineer in our Risk Consulting team your impact will be seen by:Extracting, transforming and loading financial information into data analytics platformsPerforming data cleansing, mining and modelling for fraud and corruption risk identification and analysisConducting fraud and corruption investigations under the direction of senior accountants and investigators to assist clients in crisisIdentifying key risks and deficiencies within client organisations through assessments and provide strategies to overcome theseAbout you  You have a background in Data Engineering or Analytics and are skilled in using one or more of the following platforms SQL, Python or R as well as project management and problem solving and hold an understanding of how to communicate with impact and networking with both internal and external clients, being agile in changing circumstances when resolving client issues and enjoy working as part of a fun, collaborative team open to new ideas and innovation. Passionate about being at the forefront of change, you’re ready to help our Consulting team deliver practical advice that speaks straight to the heart of client business issues and deliver innovative results.You’re collaborative and enjoy working in an innovative environment. You’re a problem solver by nature and want to join a firm that values the kind of people who reimagine the possible for their clients and stakeholders. Most importantly, you act with integrity and show care for the people you work with.Life at PwC Our culture and benefits are something we’re proud of, and also the reason we’ve been named LinkedIn’s #1 Australian workplace. With PwC, you’ll belong to an inclusive community where differences are both embraced and the underlying driver in everything we create together. We empower you with the technology, coaching, flexibility and trust needed to make a meaningful difference, while supporting you in bringing your whole self to work each day. We’re committed to building and maintaining a diverse workforce because we know it’s only by working together that we can realise the potential of our people, clients and society around us.We’re living this commitment through initiatives including our Reconciliation Action Plan to increase Indigenous employment and employee-led diversity networks promoting cultural, disability, LGBTI and gender equality. At our core we’re a people business, which means you’ll be supported not just in your professional development but your personal growth as well. Stephanie Rankin is the Recruitment Manager for the role. As the team experience high volumes of applications, we appreciate your patience to allow for a timely and fair process for all.  Education (if blank, degree and/or field of study not specified)Degrees/Field of Study required:Degrees/Field of Study preferred:Certifications (if blank, certifications not specified)Desired Languages (If blank, desired languages not specified)Travel RequirementsNot SpecifiedAvailable for Work Visa Sponsorship?NoGovernment Clearance Required?YesJob Posting End Date
",data-analyst,https://www.seek.com.au/job/38796706?type=standout&searchrequesttoken=ebcb32d1-7ec6-48f4-af2e-5fc15fa8d7a1,Information Technology,data analyst,150000.0,Mid_level
